name,age,gender,caste,religion,occupation,education,annual_income,marital_status,district,family_size,ration_card_type,disability_status,bank_account,land_ownership,land_holding_acres,recommended_scheme
Sangeetha,35,Female,BC,Muslim,Homemaker,8th Pass,34708.18,Married,Virudhunagar,2.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Karthik,28,Female,BC,Muslim,Homemaker,10th Pass,64748.96,Married,Ramanathapuram,4.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Meena,55,Male,OC,Christian,Farmer,Graduate,111869.74,Married,Madurai,5.0,APL,No,Yes,Yes,2.15,PM Kisan Samman Nidhi
Divya,24,Female,ST,Hindu,Farmer,10th Pass,41706.13,Married,Nagapattinam,4.0,BPL,No,Yes,Yes,1.04,Free Distribution of Seeds and Fertilizers
Anitha,31,Male,BC,Others,Farmer,8th Pass,66908.66,Married,Ramanathapuram,6.0,BPL,No,Yes,Yes,3.72,Free Borewell Scheme for Farmers
Balu,32,Female,ST,Hindu,Farmer,8th Pass,83003.76,Married,Nagapattinam,6.0,APL,No,Yes,Yes,3.11,Crop Insurance Scheme (PMFBY)
Arjun,39,Male,MBC,Others,Farmer,Graduate,196761.97,Married,Nagapattinam,3.0,APL,No,Yes,Yes,1.51,Kisan Credit Card Scheme
Rajan,37,Female,BC,Muslim,Farmer,Graduate,165806.74,Married,Dindigul,2.0,BPL,No,Yes,Yes,1.47,Solar Pump Scheme for Farmers
Selvam,32,Male,OC,Christian,Farmer,5th Pass,268755.61,Married,Salem,4.0,BPL,No,Yes,Yes,2.98,Coconut Development Board Subsidy
Sangeetha,26,Male,MBC,Hindu,Fisher,No Formal Education,55626.68,Married,Madurai,2.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Anitha,53,Male,BC,Others,Fisher,Post Graduate,21446.22,Married,Sivaganga,5.0,APL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Sumathy,44,Male,MBC,Others,Fisher,Graduate,82918.27,Married,Nagapattinam,5.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Sumathy,42,Male,BC,Others,Fisher,5th Pass,38127.47,Married,Ramanathapuram,6.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Arjun,12,Female,BC,Others,Student,No Formal Education,121483.93,Single,Nagapattinam,5.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
Murugan,18,Male,BC,Hindu,Student,12th Pass,96296.6,Single,Thanjavur,4.0,APL,No,Yes,No,0.0,Free Laptop Scheme
Geetha,19,Female,SC,Muslim,Student,Graduate,33493.02,Single,Salem,4.0,APL,No,Yes,No,0.0,Pudhumai Penn Scheme
Priya,28,Female,SC,Hindu,Unemployed,Graduate,166746.95,Single,Chennai,4.0,APL,No,Yes,No,0.0,CM Internship Programme
Murugan,35,Male,ST,Others,Unemployed,Post Graduate,30884.21,Single,Nagapattinam,4.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Kavitha,9,Male,ST,Muslim,Student,8th Pass,23728.35,Single,Tiruchirappalli,4.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Venkat,19,Male,SC,Others,Student,10th Pass,84824.05,Single,Salem,4.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Anitha,44,Male,SC,,Farmer,10th Pass,57659.98,Married,Virudhunagar,6.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Karthik,13,Male,SC,Hindu,Student,8th Pass,77631.32,Single,Virudhunagar,3.0,BPL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Selvam,34,Male,SC,Others,Self-employed,12th Pass,152700.09,Single,Nagapattinam,5.0,APL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Nithya,39,Male,SC,Muslim,Farmer,12th Pass,49530.66,Married,Virudhunagar,3.0,BPL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Sangeetha,37,Female,BC,Others,Unemployed,10th Pass,45139.7,Widowed,Kancheepuram,5.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Venkat,17,Male,MBC,Hindu,Unemployed,Graduate,17650.31,Single,Tirunelveli,3.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Lakshmi,56,Male,SC,Muslim,Unemployed,No Formal Education,94980.05,Married,Erode,2.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
,9,Female,BC,Hindu,Student,10th Pass,22088.02,Single,Erode,5.0,BPL,Yes,No,No,0.0,Special School Assistance
Anitha,21,Male,ST,Hindu,Student,10th Pass,89020.54,Single,Nagapattinam,3.0,APL,No,Yes,No,0.0,CM Youth Sports Incentive
Sangeetha,40,Female,ST,Hindu,Unemployed,12th Pass,71491.86,Single,Coimbatore,6.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Divya,43,Female,MBC,Others,Unorganised Worker,Post Graduate,24371.62,Married,Villupuram,2.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Karthik,28,Male,SC,Christian,Construction Worker,Post Graduate,104982.14,,Chennai,4.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Karthik,24,Male,BC,Others,Toddy Tapper,Graduate,49492.08,Married,Madurai,4.0,BPL,No,Yes,No,,TASMAC Toddy Tappers Welfare Scheme
Selvam,66,Female,SC,Hindu,Homemaker,8th Pass,24449.92,Married,Erode,2.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Arjun,67,Female,MBC,Christian,Farmer,12th Pass,24477.12,Widowed,Coimbatore,1.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
Kumar,23,Female,MBC,Hindu,Employee,Graduate,254893.22,Married,Cuddalore,6.0,APL,No,Yes,No,0.45,CMCHIS – Chief Minister's Health Insurance
Geetha,44,Female,BC,Muslim,Construction Worker,8th Pass,36989.47,Married,,6.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Divya,48,Male,SC,Hindu,Unorganised Worker,Graduate,216579.57,Married,Vellore,5.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Selvam,43,Male,SC,Others,Employee,Graduate,144094.19,Married,Nagapattinam,6.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Meena,23,Male,ST,Christian,Construction Worker,Graduate,253075.09,Married,Thanjavur,5.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Sangeetha,20,Female,MBC,Christian,Student,Post Graduate,189603.46,Single,Virudhunagar,2.0,BPL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Nithya,38,Female,MBC,Others,Self-employed,10th Pass,94525.08,Single,Namakkal,3.0,APL,No,Yes,No,0.0,MSME Subsidy Scheme
Kavitha,49,Female,SC,Muslim,Homemaker,Graduate,108358.12,Married,Tiruchirappalli,3.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Anitha,61,Female,MBC,Hindu,Farmer,Post Graduate,183046.33,Married,Krishnagiri,5.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Meena,61,Female,BC,Christian,Homemaker,Graduate,132245.68,Married,Krishnagiri,2.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Kumar,29,Male,SC,Hindu,Unorganised Worker,12th Pass,115704.25,Married,Sivaganga,2.0,,No,Yes,No,0.0,Amma Canteen Scheme
Rajan,25,Male,BC,Hindu,Farmer,Graduate,258379.36,Single,Nagapattinam,6.0,APL,No,Yes,Yes,1.02,Chief Minister's Green Tamil Nadu Mission
Venkat,55,Female,SC,Hindu,Homemaker,5th Pass,99557.96,Married,Krishnagiri,6.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Karthik,35,Female,MBC,Others,Employee,12th Pass,,Single,Madurai,2.0,,No,Yes,No,0.0,Amma Two Wheeler Scheme
Rekha,22,Female,BC,Christian,Homemaker,No Formal Education,150502.38,Married,Sivaganga,4.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Karthik,41,Female,BC,Hindu,Homemaker,No Formal Education,44506.72,Married,Vellore,4.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Divya,29,Female,ST,Others,Student,12th Pass,135151.55,Single,Ramanathapuram,5.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Rajan,23,Female,SC,Christian,Homemaker,10th Pass,52152.13,Married,Krishnagiri,5.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Meena,23,Female,ST,Muslim,Homemaker,5th Pass,80113.25,Married,Erode,4.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Karthik,58,Male,OC,Muslim,Farmer,12th Pass,116223.11,Married,Thanjavur,3.0,APL,No,Yes,Yes,2.14,PM Kisan Samman Nidhi
Sangeetha,24,Female,MBC,Hindu,Farmer,5th Pass,108700.68,Married,Sivaganga,6.0,BPL,No,Yes,Yes,1.1,Free Distribution of Seeds and Fertilizers
Vijay,59,Female,MBC,Muslim,Farmer,10th Pass,92058.24,Married,Salem,5.0,BPL,No,Yes,Yes,3.44,Free Borewell Scheme for Farmers
Sangeetha,44,Female,MBC,Muslim,Farmer,No Formal Education,174686.38,Married,Dindigul,,APL,No,Yes,Yes,4.23,Crop Insurance Scheme (PMFBY)
Divya,61,Female,BC,Christian,Farmer,Graduate,283035.11,Married,Tiruchirappalli,2.0,APL,No,Yes,Yes,3.83,Kisan Credit Card Scheme
Geetha,46,Female,SC,Christian,Farmer,No Formal Education,171132.43,Married,Dindigul,7.0,BPL,No,Yes,Yes,3.39,Solar Pump Scheme for Farmers
Karthik,58,Female,BC,Muslim,Farmer,5th Pass,231883.03,Married,Virudhunagar,6.0,APL,No,Yes,Yes,1.2,Coconut Development Board Subsidy
Kavitha,21,Male,MBC,Muslim,Fisher,10th Pass,90121.84,Married,Krishnagiri,4.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Rajan,44,Male,SC,Others,Fisher,10th Pass,34282.9,Married,Tiruchirappalli,3.0,APL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Karthik,28,Male,BC,Hindu,Fisher,No Formal Education,38024.72,Married,Cuddalore,7.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
